기준연월,지역명,방문자 수
202102,강동구,3651494.0
202103,강동구,4462307.0
202104,강동구,3926163.0
202105,강동구,4160905.0
202106,강동구,3960481.0
202107,강동구,3769433.0
202108,강동구,3723756.0
202109,강동구,4132003.0
202110,강동구,4173418.0
202111,강동구,4090062.0
202112,강동구,3981561.0
