업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
카페분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
카페분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
삼익커피,"서울특별시 중구 남대문시장8길 7, 6층 1,2,4,5,6,7,8,10,11,60,61호 (남창동)",남창동,,회현동,,62.46,
샐러드조이,"서울특별시 노원구 초안산로2라길 31, 2층 (월계동)",월계동,,월계2동,,,3.3
셀러카페,"서울특별시 강남구 압구정로30길 75, 수정빌딩 지상1층 (신사동)",신사동,,신사동,,90.47,
(주)피스북스,"서울특별시 성동구 독서당로 216, 4층 (옥수동)",옥수동,,옥수동,,,
피엔투에프앤아이(PN2F&I),"서울특별시 종로구 평창문화로 29, 오피스텔 천지인 1층 (평창동)",평창동,,평창동,,90.0,
카페수다,"서울특별시 강동구 성안로 109, 1층 102호 (성내동, 현대아 파트)",성내동,,성내제1동,,54.68,
브루다숙명여대,"서울특별시 용산구 청파로47길 82, 1층 (청파동2가)",청파동2가,19.8,청파동,0.0,11.8,0.0
카페인중독 금천점,"서울특별시 금천구 시흥대로92길 24, 101호 (독산동)",독산동,26.0,독산제2동,0.0,0.0,0.0
공감,"서울특별시 동작구 여의대방로22아길 54, 1층 101호 (신대방동)",신대방동,,신대방제2동,,25.67,
카페펠릭스,"서울특별시 서초구 방배로27길 8, 더플레이스 1층 (방배동)",방배동,,방배제4동,,143.6,
19티,"서울특별시 광진구 광나루로 370, 1층 101호 (화양동, 화양동 동도센트리움 캠퍼스파크)",화양동,,화양동,,,
더커피랩(THE COFFEE LAB),"서울특별시 강남구 압구정로 124, 지상1층 (신사동)",신사동,,신사동,,23.1,
언유절(unusual),"서울특별시 영등포구 당산로36길 12, 상가201동 1층 104호 (당산동4가, 당산2차삼성아파트)",당산동4가,,당산제2동,,,
네가있어고마워,"서울특별시 영등포구 양평로28길 33, 1층 101호 (양평동6가, 아트리버빌)",양평동6가,,양평제2동,,,
커피베이가양더리브점,"서울특별시 강서구 양천로 400-12, 더리브골드타워 2층 207-1호 (가양동)",가양동,,가양제1동,,,
커피쿡 마곡엘지점,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 1층 108호 (마곡동)",마곡동,,가양제1동,,,
카페 서리풀,"서울특별시 서초구 반포대로28길 39, 1층 101호 (서초동)",서초동,,서초제2동,,39.0,
메가커피신대방삼거리역점,"서울특별시 동작구 보라매로 113, 코스모빌딩 104호 (대방동)",대방동,,대방동,,59.53,
쵸비 하우스,"서울특별시 송파구 백제고분로34길 5, 1층 101호의 일부호 (석촌동, 석촌코아빌)",석촌동,,석촌동,28.0,,
윤디,"서울특별시 송파구 백제고분로34길 5, 1층 101호의 일부호 (석촌동, 석촌코아빌)",석촌동,,석촌동,28.0,,
쵸비 하우스,"서울특별시 송파구 백제고분로34길 5, 1층 101호의 일부호 (석촌동, 석촌코아빌)",석촌동,,석촌동,28.0,,
