역명,날짜,광역_수송실적인원,ITX-청춘_수송실적인원
남춘천,2018년 05월 25일,5454,3431
남춘천,2018년 05월 26일,6033,4286
남춘천,2018년 05월 27일,5187,3643
남춘천,2018년 05월 28일,4346,2527
남춘천,2018년 05월 29일,3929,2338
남춘천,2018년 05월 30일,3839,2309
남춘천,2018년 05월 31일,4454,2589
춘천,2018년 05월 01일,4459,2386
춘천,2018년 05월 02일,2289,1544
춘천,2018년 05월 03일,2853,1760
춘천,2018년 05월 04일,4045,2492
춘천,2018년 05월 05일,5643,3870
춘천,2018년 05월 06일,3099,3678
춘천,2018년 05월 07일,5205,3920
춘천,2018년 05월 08일,3092,1875
춘천,2018년 05월 09일,2913,1655
춘천,2018년 05월 10일,3475,1855
춘천,2018년 05월 11일,3889,2392
춘천,2018년 05월 12일,3093,2896
춘천,2018년 05월 13일,3634,2895
춘천,2018년 05월 14일,2988,1793
춘천,2018년 05월 15일,3168,1779
춘천,2018년 05월 16일,2363,1575
춘천,2018년 05월 17일,2360,1828
춘천,2018년 05월 18일,3565,2516
춘천,2018년 05월 19일,4648,3525
춘천,2018년 05월 20일,4311,3783
춘천,2018년 05월 21일,4373,2605
춘천,2018년 05월 22일,4910,3426
춘천,2018년 05월 23일,2825,1729
춘천,2018년 05월 24일,3296,1874
춘천,2018년 05월 25일,3857,2416
춘천,2018년 05월 26일,4433,3362
춘천,2018년 05월 27일,3843,3237
춘천,2018년 05월 28일,3160,1842
춘천,2018년 05월 29일,3036,1775
춘천,2018년 05월 30일,2935,1642
춘천,2018년 05월 31일,3211,1803
남춘천,2018년 06월 01일,5340,3372
남춘천,2018년 06월 02일,5647,4263
남춘천,2018년 06월 03일,3799,3554
남춘천,2018년 06월 04일,4021,2543
남춘천,2018년 06월 05일,4351,2639
남춘천,2018년 06월 06일,4517,2765
남춘천,2018년 06월 07일,5114,2612
남춘천,2018년 06월 08일,4835,3180
남춘천,2018년 06월 09일,4415,3861
남춘천,2018년 06월 10일,3584,3399
남춘천,2018년 06월 11일,4053,2398
남춘천,2018년 06월 12일,5302,2836
남춘천,2018년 06월 13일,3926,2820
남춘천,2018년 06월 14일,3327,2306
남춘천,2018년 06월 15일,4726,2878
남춘천,2018년 06월 16일,4538,3895
남춘천,2018년 06월 17일,4451,3450
남춘천,2018년 06월 18일,3987,2481
남춘천,2018년 06월 19일,3801,2248
남춘천,2018년 06월 20일,3974,2357
남춘천,2018년 06월 21일,4312,2622
남춘천,2018년 06월 22일,5527,3096
남춘천,2018년 06월 23일,4972,4420
남춘천,2018년 06월 24일,3643,3530
남춘천,2018년 06월 25일,3856,2395
남춘천,2018년 06월 26일,2939,2112
남춘천,2018년 06월 27일,3864,2216
남춘천,2018년 06월 28일,3523,2286
남춘천,2018년 06월 29일,4141,2792
남춘천,2018년 06월 30일,4183,3905
춘천,2018년 06월 01일,3697,2490
춘천,2018년 06월 02일,3898,3405
춘천,2018년 06월 03일,3510,3081
춘천,2018년 06월 04일,3022,1804
춘천,2018년 06월 05일,3301,1983
춘천,2018년 06월 06일,4679,3119
춘천,2018년 06월 07일,3000,1802
춘천,2018년 06월 08일,3560,2346
춘천,2018년 06월 09일,3708,3446
춘천,2018년 06월 10일,3048,2753
춘천,2018년 06월 11일,2787,1701
춘천,2018년 06월 12일,3026,1914
춘천,2018년 06월 13일,3894,2557
춘천,2018년 06월 14일,2593,1750
춘천,2018년 06월 15일,3056,2082
춘천,2018년 06월 16일,3755,3055
춘천,2018년 06월 17일,3273,2874
춘천,2018년 06월 18일,2971,1790
춘천,2018년 06월 19일,2938,1777
춘천,2018년 06월 20일,2703,1777
춘천,2018년 06월 21일,2862,1912
춘천,2018년 06월 22일,3163,2241
춘천,2018년 06월 23일,3824,3278
춘천,2018년 06월 24일,3373,2926
춘천,2018년 06월 25일,2533,1715
춘천,2018년 06월 26일,1718,1446
춘천,2018년 06월 27일,1888,1523
춘천,2018년 06월 28일,2082,1547
춘천,2018년 06월 29일,2539,1990
춘천,2018년 06월 30일,2801,2701
남춘천,2018년 07월 01일,3030,3262
남춘천,2018년 07월 02일,3134,2194
남춘천,2018년 07월 03일,3077,2151
남춘천,2018년 07월 04일,3247,2078
남춘천,2018년 07월 05일,3528,2213
남춘천,2018년 07월 06일,4279,2664
남춘천,2018년 07월 07일,5635,4065
남춘천,2018년 07월 08일,3990,3618
남춘천,2018년 07월 09일,3112,2247
남춘천,2018년 07월 10일,3055,2103
남춘천,2018년 07월 11일,3126,2212
남춘천,2018년 07월 12일,4061,2404
남춘천,2018년 07월 13일,4118,2784
남춘천,2018년 07월 14일,4666,3786
남춘천,2018년 07월 15일,3767,3577
남춘천,2018년 07월 16일,3607,2383
남춘천,2018년 07월 17일,3871,2233
남춘천,2018년 07월 18일,3505,2324
남춘천,2018년 07월 19일,3463,2304
남춘천,2018년 07월 20일,4269,2865
남춘천,2018년 07월 21일,4587,3734
남춘천,2018년 07월 22일,4356,3519
남춘천,2018년 07월 23일,3665,2410
남춘천,2018년 07월 24일,3594,2231
남춘천,2018년 07월 25일,3492,2153
남춘천,2018년 07월 26일,3637,2281
남춘천,2018년 07월 27일,4822,2814
남춘천,2018년 07월 28일,4154,3580
남춘천,2018년 07월 29일,4014,3610
남춘천,2018년 07월 30일,3964,2554
남춘천,2018년 07월 31일,3916,2452
춘천,2018년 07월 01일,1954,2321
춘천,2018년 07월 02일,1671,1509
춘천,2018년 07월 03일,1867,1406
춘천,2018년 07월 04일,2109,1428
춘천,2018년 07월 05일,2032,1634
춘천,2018년 07월 06일,3056,2180
춘천,2018년 07월 07일,3591,3113
춘천,2018년 07월 08일,3589,3079
춘천,2018년 07월 09일,1700,1549
춘천,2018년 07월 10일,1879,1565
춘천,2018년 07월 11일,2023,1594
춘천,2018년 07월 12일,2172,1699
춘천,2018년 07월 13일,2706,2088
춘천,2018년 07월 14일,3626,3138
춘천,2018년 07월 15일,3418,3012
춘천,2018년 07월 16일,2157,1726
춘천,2018년 07월 17일,2019,1495
춘천,2018년 07월 18일,2094,1562
춘천,2018년 07월 19일,2123,1568
춘천,2018년 07월 20일,2638,1959
춘천,2018년 07월 21일,3567,2709
춘천,2018년 07월 22일,3269,2701
춘천,2018년 07월 23일,2338,1649
춘천,2018년 07월 24일,2506,1562
춘천,2018년 07월 25일,2289,1547
춘천,2018년 07월 26일,2455,1603
춘천,2018년 07월 27일,2950,1896
춘천,2018년 07월 28일,3441,2583
춘천,2018년 07월 29일,3649,2958
춘천,2018년 07월 30일,2841,1903
춘천,2018년 07월 31일,3179,1885
남춘천,2018년 08월 01일,4166,2444
남춘천,2018년 08월 02일,5091,2374
남춘천,2018년 08월 03일,4909,2571
남춘천,2018년 08월 04일,4700,3728
남춘천,2018년 08월 05일,3899,3487
남춘천,2018년 08월 06일,4028,2446
남춘천,2018년 08월 07일,4529,2211
남춘천,2018년 08월 08일,3711,2205
남춘천,2018년 08월 09일,3623,2177
남춘천,2018년 08월 10일,4306,2739
남춘천,2018년 08월 11일,4638,3594
남춘천,2018년 08월 12일,4777,3326
남춘천,2018년 08월 13일,3859,2392
남춘천,2018년 08월 14일,4177,2410
남춘천,2018년 08월 15일,4244,2811
남춘천,2018년 08월 16일,3774,2268
남춘천,2018년 08월 17일,4811,2606
남춘천,2018년 08월 18일,4566,3701
남춘천,2018년 08월 19일,3826,3425
남춘천,2018년 08월 20일,3799,2349
남춘천,2018년 08월 21일,3496,2220
남춘천,2018년 08월 22일,4183,2262
남춘천,2018년 08월 23일,2957,2045
남춘천,2018년 08월 24일,2938,2381
남춘천,2018년 08월 25일,4741,3833
남춘천,2018년 08월 26일,3833,3591
남춘천,2018년 08월 27일,3819,2363
남춘천,2018년 08월 28일,3225,2030
남춘천,2018년 08월 29일,2916,2014
남춘천,2018년 08월 30일,3548,2283
남춘천,2018년 08월 31일,4720,2900
춘천,2018년 08월 01일,3271,1860
춘천,2018년 08월 02일,3733,1912
춘천,2018년 08월 03일,3915,2209
춘천,2018년 08월 04일,4069,2766
춘천,2018년 08월 05일,3643,2896
춘천,2018년 08월 06일,2650,1788
춘천,2018년 08월 07일,2785,1774
춘천,2018년 08월 08일,2670,1614
춘천,2018년 08월 09일,2630,1578
춘천,2018년 08월 10일,3014,1949
춘천,2018년 08월 11일,3702,2805
춘천,2018년 08월 12일,3565,2844
춘천,2018년 08월 13일,2681,1705
춘천,2018년 08월 14일,2966,1847
춘천,2018년 08월 15일,3894,2516
춘천,2018년 08월 16일,2472,1769
춘천,2018년 08월 17일,2924,2058
춘천,2018년 08월 18일,3503,2888
춘천,2018년 08월 19일,3382,2850
춘천,2018년 08월 20일,2405,1689
춘천,2018년 08월 21일,2120,1607
춘천,2018년 08월 22일,2312,1594
춘천,2018년 08월 23일,1673,1305
춘천,2018년 08월 24일,1546,1511
춘천,2018년 08월 25일,3457,2772
춘천,2018년 08월 26일,3033,2822
춘천,2018년 08월 27일,2194,1532
춘천,2018년 08월 28일,2795,1567
춘천,2018년 08월 29일,2033,1404
춘천,2018년 08월 30일,2786,1489
춘천,2018년 08월 31일,4095,2042
남춘천,2018년 09월 01일,4898,3960
남춘천,2018년 09월 02일,4992,3659
남춘천,2018년 09월 03일,3665,2299
남춘천,2018년 09월 04일,3689,2204
남춘천,2018년 09월 05일,3574,2263
남춘천,2018년 09월 06일,4318,2567
남춘천,2018년 09월 07일,6032,3226
남춘천,2018년 09월 08일,5263,4185
남춘천,2018년 09월 09일,4300,3569
남춘천,2018년 09월 10일,4223,2371
남춘천,2018년 09월 11일,3758,2311
남춘천,2018년 09월 12일,4675,2286
남춘천,2018년 09월 13일,4277,2581
남춘천,2018년 09월 14일,5232,3209
남춘천,2018년 09월 15일,4987,4257
남춘천,2018년 09월 16일,4131,3334
남춘천,2018년 09월 17일,4861,2494
남춘천,2018년 09월 18일,3657,2153
남춘천,2018년 09월 19일,3633,2308
남춘천,2018년 09월 20일,3888,2683
남춘천,2018년 09월 21일,5107,3573
남춘천,2018년 09월 22일,4594,3698
남춘천,2018년 09월 23일,3328,2583
남춘천,2018년 09월 24일,3701,4088
남춘천,2018년 09월 25일,4441,4243
남춘천,2018년 09월 26일,4460,4139
남춘천,2018년 09월 27일,4744,2523
남춘천,2018년 09월 28일,4702,2797
남춘천,2018년 09월 29일,4658,3695
남춘천,2018년 09월 30일,3667,3002
춘천,2018년 09월 01일,4936,3279
춘천,2018년 09월 02일,4829,3119
춘천,2018년 09월 03일,2370,1491
춘천,2018년 09월 04일,2633,1539
춘천,2018년 09월 05일,2813,1509
춘천,2018년 09월 06일,3004,1692
춘천,2018년 09월 07일,3454,2356
춘천,2018년 09월 08일,4072,3321
춘천,2018년 09월 09일,3625,3025
춘천,2018년 09월 10일,2797,1698
춘천,2018년 09월 11일,2793,1658
춘천,2018년 09월 12일,2561,1568
춘천,2018년 09월 13일,3086,1780
춘천,2018년 09월 14일,3371,2346
춘천,2018년 09월 15일,3397,3162
춘천,2018년 09월 16일,2984,2844
춘천,2018년 09월 17일,2815,1711
춘천,2018년 09월 18일,2476,1656
춘천,2018년 09월 19일,2537,1556
춘천,2018년 09월 20일,2410,1719
춘천,2018년 09월 21일,3039,2386
춘천,2018년 09월 22일,3127,2606
춘천,2018년 09월 23일,2423,2113
춘천,2018년 09월 24일,3793,3276
춘천,2018년 09월 25일,5177,4061
춘천,2018년 09월 26일,4527,3515
춘천,2018년 09월 27일,3005,1757
춘천,2018년 09월 28일,3283,2115
춘천,2018년 09월 29일,3764,3017
춘천,2018년 09월 30일,3309,2759
남춘천,2018년 10월 01일,3895,2338
남춘천,2018년 10월 02일,5005,2573
남춘천,2018년 10월 03일,4573,2791
남춘천,2018년 10월 04일,4496,2573
남춘천,2018년 10월 05일,4661,2890
남춘천,2018년 10월 06일,4058,3737
남춘천,2018년 10월 07일,4802,3206
남춘천,2018년 10월 08일,4747,2628
남춘천,2018년 10월 09일,4488,2893
남춘천,2018년 10월 10일,3778,2392
남춘천,2018년 10월 11일,4181,2430
남춘천,2018년 10월 12일,5846,3226
남춘천,2018년 10월 13일,5717,4277
남춘천,2018년 10월 14일,4253,3403
남춘천,2018년 10월 15일,4046,2390
남춘천,2018년 10월 16일,3827,2249
남춘천,2018년 10월 17일,4667,2312
남춘천,2018년 10월 18일,4230,2441
남춘천,2018년 10월 19일,4897,2924
남춘천,2018년 10월 20일,5532,4190
남춘천,2018년 10월 21일,4550,3493
남춘천,2018년 10월 22일,4713,2401
남춘천,2018년 10월 23일,3757,2205
남춘천,2018년 10월 24일,3865,2194
남춘천,2018년 10월 25일,4256,2353
남춘천,2018년 10월 26일,4693,2963
남춘천,2018년 10월 27일,6238,4328
남춘천,2018년 10월 28일,4830,3835
남춘천,2018년 10월 29일,3989,2348
남춘천,2018년 10월 30일,3666,2111
남춘천,2018년 10월 31일,3754,2243
춘천,2018년 10월 01일,2783,1786
춘천,2018년 10월 02일,3095,1870
춘천,2018년 10월 03일,4482,2961
춘천,2018년 10월 04일,3322,1809
춘천,2018년 10월 05일,3221,2342
춘천,2018년 10월 06일,2219,2413
