,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
32,이마트 보라점,ME19Z227,21,04,경기도 용인시 기흥구 한보라1로 92,null,10:00 ~ 23:00,37.247346,127.104984,ME,환경부,환경부,1661-9408,2,20221011151311,20221011151040,20221011151310,,,100,단독,41,41460,E0,E001,N,,N,,N,
33,이마트 보라점,ME19Z227,22,04,경기도 용인시 기흥구 한보라1로 92,null,10:00 ~ 23:00,37.247346,127.104984,ME,환경부,환경부,1661-9408,2,20221011151952,20221011151721,20221011151951,,,100,단독,41,41460,E0,E001,N,,N,,N,
34,죽전휴게소 (서울방향),ME20D901,01,04,경기도 용인시 수지구 경부고속도로400,null,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,3,20221011153942,20221011150829,20221011152539,20221011153942,,100,단독,41,41460,C0,C001,Y,,N,,N,
35,죽전휴게소 (서울방향),ME20D901,02,04,경기도 용인시 수지구 경부고속도로400,null,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,2,20221011152842,20221011151549,20221011152842,,,100,단독,41,41460,C0,C001,Y,,N,,N,
36,죽전휴게소 (서울방향),ME20D901,81,04,경기도 용인시 수지구 경부고속도로400,null,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,3,20221011153302,20221011151423,20221011152933,20221011153302,,350,단독,41,41460,C0,C001,Y,,N,,N,
37,죽전휴게소 (서울방향),ME20D901,82,04,경기도 용인시 수지구 경부고속도로400,null,24시간 이용가능,37.3316793,127.1045386,ME,환경부,환경부,1661-9408,3,20221011153231,20221011143905,20221011151910,20221011153231,,350,단독,41,41460,C0,C001,Y,,N,,N,
38,용인서부경찰서,ME21B173,01,04,경기도 용인시 기흥구 용구대로2469번길 32,null,24시간 이용가능,37.3094934,127.1056667,ME,환경부,환경부,1661-9408,9,20221011131810,20221010142446,20221010144407,,,100,단독,41,41460,I0,I004,Y,,N,,N,
39,운학동예비군훈련장,ME21C408,21,04,경기도 용인시 처인구 묵동로 73-1,null,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20221011135313,20221011135038,20221011135313,,,200,동시,41,41460,B0,B004,Y,,N,,N,
40,운학동예비군훈련장,ME21C408,22,04,경기도 용인시 처인구 묵동로 73-1,null,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20221011153750,20221011150659,20221011153750,,,200,동시,41,41460,B0,B004,Y,,N,,N,
41,운학동예비군훈련장,ME21C408,23,04,경기도 용인시 처인구 묵동로 73-1,null,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,9,20221004004310,20221002152615,20221002160108,,,200,동시,41,41460,B0,B004,Y,,N,,N,
42,운학동예비군훈련장,ME21C408,24,04,경기도 용인시 처인구 묵동로 73-1,null,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,9,20221004004310,20221003233421,20221003235945,20221004001023,,200,동시,41,41460,B0,B004,Y,,N,,N,
43,에스지스크린골프,CSSGS001,01,02,경기도 용인시 기흥구 동백죽전대로175번길 13,주차장,24시간 이용가능,37.257835,127.160884,CS,한국EV충전서비스센터,한국EV충전서비스센터,1600-2213,9,,,,,,14,동시,41,41460,E0,E004,Y,,N,,N,
44,용인스테이타워,CU310006,01,02,경기도 용인시 기흥구 중부대로 382,상가내 지상1층 우측 경비실 옆,09:00~18:00,37.2716518,127.109405,CU,씨어스,씨어스,1522-2640,9,20220401165810,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
45,죽전누리에뜰,CU310022,01,02,경기도 용인시 기흥구 죽전로 20,null,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
46,죽전누리에뜰,CU310022,02,02,경기도 용인시 기흥구 죽전로 20,null,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
47,죽전누리에뜰,CU310022,03,02,경기도 용인시 기흥구 죽전로 20,null,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,20220920114310,20220920110545,20220920110825,20220920110545,,7,단독,41,41460,H0,H001,N,,N,,N,
48,죽전누리에뜰,CU310022,04,02,경기도 용인시 기흥구 죽전로 20,null,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,H0,H001,N,,N,,N,
49,동백중앙프라자상가,CU310026,01,02,경기도 용인시 기흥구 동백7로 83,null,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
50,동백중앙프라자상가,CU310026,02,02,경기도 용인시 기흥구 동백7로 83,null,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
51,동백중앙프라자상가,CU310026,03,02,경기도 용인시 기흥구 동백7로 83,null,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7,단독,41,41460,G0,G004,N,,N,,N,
