노선번호,노선명,노선별정류장순번,정류장번호,정류장명,위도,경도,데이터기준일
250000201,2-S,48,250001323,퇴계주공1차,37.858710,127.736980,2021-09-09
250000201,2-S,49,250026584,휴먼시아1차,37.860870,127.733200,2021-09-09
250000201,2-S,50,250001922,유승한내들,37.861920,127.731370,2021-09-09
250000201,2-S,51,250001327,남부초교,37.859310,127.727430,2021-09-09
250000201,2-S,52,250001305,퇴계현대1차,37.858580,127.725020,2021-09-09
250000201,2-S,53,250001324,퇴계우체국,37.859620,127.723260,2021-09-09
250000201,2-S,54,250001620,남춘천초교,37.860410,127.721870,2021-09-09
250000201,2-S,55,250001902,열린공원,37.861530,127.720530,2021-09-09
250000201,2-S,56,250002080,시외버스터미널,37.863680,127.719890,2021-09-09
250000201,2-S,57,250027091,온의동푸르지오,37.868550,127.719780,2021-09-09
250000201,2-S,58,250027093,방송통신대앞,37.871940,127.720720,2021-09-09
250000201,2-S,59,250001351,춘천중학교정문,37.873980,127.718100,2021-09-09
250000201,2-S,60,250001352,춘천중학교,37.874870,127.717180,2021-09-09
250000201,2-S,61,250001348,춘천초등학교,37.876080,127.720960,2021-09-09
250000201,2-S,62,250001847,중앙시장환승센터,37.877490,127.724200,2021-09-09
250000201,2-S,63,250001849,중앙시장,37.878500,127.725480,2021-09-09
250000201,2-S,64,250001885,인성병원,37.881090,127.726590,2021-09-09
250000201,2-S,65,250001371,춘천농협,37.883650,127.723280,2021-09-09
250000201,2-S,66,250026767,한신휴플러스,37.884230,127.725920,2021-09-09
250000201,2-S,67,250001359,춘천시청별관,37.881470,127.732940,2021-09-09
250000201,2-S,68,250001263,향교,37.881770,127.735140,2021-09-09
250000201,2-S,69,250001275,한림대학교,37.883160,127.737250,2021-09-09
250000201,2-S,70,250001548,동보빌리지,37.883640,127.741340,2021-09-09
250000201,2-S,71,250002125,세경3차,37.884510,127.743700,2021-09-09
250000201,2-S,72,250001686,농협후석로지점,37.886210,127.745780,2021-09-09
250000201,2-S,73,250002230,봉의A,37.887680,127.744130,2021-09-09
250000201,2-S,74,250001541,소방서,37.889130,127.742500,2021-09-09
